Variable,Subtopic,Verbatim Signal / Theme,Sentiment,Polarity

Environment & Output,Workspace Organization,"Clean, minimal desk setups make it easier to start and sustain work sessions",Positive,0.62
Environment & Output,Workspace Organization,"Cluttered desks create friction and delay task initiation",Negative,-0.58
Environment & Output,Workspace Organization,"Messy environments lead to scattered thinking and reduced clarity",Negative,-0.61
Environment & Output,Workspace Organization,"Organized spaces improve mental clarity and reduce cognitive load",Positive,0.64
Environment & Output,Workspace Organization,"Visual clutter acts as a constant low-level distraction",Negative,-0.55
Environment & Output,Home Environment,"After work, energy drops significantly making it hard to continue productive tasks",Negative,-0.52
Environment & Output,Home Environment,"Home environment often triggers relaxation mode rather than productivity",Negative,-0.49
Environment & Output,Home Environment,"Changing location within the house improves ability to focus",Positive,0.41
Environment & Output,Home Environment,"Separating work and rest spaces improves consistency",Positive,0.47
Environment & Output,Home Environment,"Working from bed or couch reduces seriousness toward tasks",Negative,-0.44
Environment & Output,Lighting & Air,"Natural light significantly improves mood and sustained attention",Positive,0.68
Environment & Output,Lighting & Air,"Poor ventilation makes it harder to stay alert during long sessions",Negative,-0.57
Environment & Output,Lighting & Air,"Artificial lighting feels draining over long periods",Negative,-0.52
Environment & Output,Lighting & Air,"Fresh air improves cognitive sharpness and reduces fatigue",Positive,0.63
Environment & Output,Lighting & Air,"Dim lighting reduces alertness and slows down thinking",Negative,-0.48
Productivity & Focus,Sustained Deep Work,"It is extremely difficult to sustain uninterrupted focus in open environments",Negative,-0.72
Productivity & Focus,Sustained Deep Work,"Quiet spaces enable longer deep work cycles",Positive,0.66
Productivity & Focus,Sustained Deep Work,"Deep work feels almost impossible with constant interruptions",Negative,-0.74
Productivity & Focus,Sustained Deep Work,"Isolation improves ability to think through complex problems",Positive,0.61
Productivity & Focus,Sustained Deep Work,"Focus improves significantly when distractions are removed",Positive,0.64
Productivity & Focus,Disruptions,"Coworkers interrupting for small requests breaks concentration repeatedly",Negative,-0.78
